"site","x","rain1","rain1_p_ind","var","comparison","d050","d025","d975"
"D8",1,0,1,"tp","NvS",0.010344720650894,0.00652037333795035,0.015399742366513
"D8",2,2,3,"tp","NvS",0.0122936269605726,0.00685589015574688,0.01949245224836
"D8",3,8,5,"tp","NvS",0.0121879248284651,0.00360686649892381,0.0231379248301957
"D8",4,20,7,"tp","NvS",0.00850880353193136,-0.00475831619078029,0.0245569013437155
"D8",6,0,1,"tp","SvR",0.00798266839623332,0.00167021265427294,0.0131660573445351
"D8",7,2,3,"tp","SvR",0.0151941998137743,0.00459137852618786,0.0240178124760094
"D8",8,8,5,"tp","SvR",0.0286824795647459,0.0110067947297385,0.0439516876816579
"D8",9,20,7,"tp","SvR",0.0465843742308687,0.0197217999929754,0.0705052665136039
"D4",1,0,1,"tp","NvS",0.00674320511025405,0.00417040359935337,0.0101688425842629
"D4",2,2,3,"tp","NvS",0.00783483903276433,0.00428208950754256,0.0126000513686676
"D4",3,8,5,"tp","NvS",0.0076067556422637,0.00221491016139275,0.0146798857361382
"D4",4,20,7,"tp","NvS",0.00521414362495819,-0.00284506020742556,0.0154778026946626
"D4",6,0,1,"tp","SvR",0.0132778477963743,0.00688745753468448,0.0193641419726946
"D4",7,2,3,"tp","SvR",0.0221104305146681,0.0113454540380471,0.0324161782017574
"D4",8,8,5,"tp","SvR",0.0368164455682978,0.0182226390112163,0.0545937464366961
"D4",9,20,7,"tp","SvR",0.0546410576328345,0.0257846435994636,0.0812354897369709
"Ln",1,0,1,"tp","NvS",0.0293353994898501,0.0195870627074755,0.0413983671979423
"Ln",2,2,3,"tp","NvS",0.0367513048886239,0.0217973954095333,0.0548708429289302
"Ln",3,8,5,"tp","NvS",0.038728968023083,0.0127183092022196,0.0682427748091658
"Ln",4,20,7,"tp","NvS",0.0285575411966446,-0.0171626921378752,0.0754480868987013
"Ln",6,0,1,"tp","SvR",-0.00108937922375212,-0.0110874946354949,0.00692852443399901
"Ln",7,2,3,"tp","SvR",0.00504376299900348,-0.0118846738446907,0.0197385119011642
"Ln",8,8,5,"tp","SvR",0.022622494256576,-0.00693539728379829,0.0515810198848717
"Ln",9,20,7,"tp","SvR",0.0536359276459572,0.00370365315418056,0.105549335616
"L4",1,0,1,"tp","NvS",0.0172348471741874,0.0107905878492854,0.0258616314686895
"L4",2,2,3,"tp","NvS",0.0199940396138324,0.0111319238217381,0.0321277764261697
"L4",3,8,5,"tp","NvS",0.0194623994058746,0.00587990968460242,0.0373656617845369
"L4",4,20,7,"tp","NvS",0.0135145986375308,-0.00738749748464238,0.038998945270801
"L4",6,0,1,"tp","SvR",0.0163271844209576,0.00559210583957576,0.026966585428777
"L4",7,2,3,"tp","SvR",0.0292825156999565,0.0108802614060452,0.0476927554883965
"L4",8,8,5,"tp","SvR",0.05247911801951,0.0207208159643969,0.0848548849417261
"L4",9,20,7,"tp","SvR",0.0825579528368502,0.0334322468570563,0.132178735781515
"Ls",1,0,1,"tp","NvS",0.0276641440033092,0.0177383343247549,0.0408479319237918
"Ls",2,2,3,"tp","NvS",0.0331038739630349,0.0188418481753849,0.0522183234807829
"Ls",3,8,5,"tp","NvS",0.0331168156202986,0.0103807219906604,0.0620749561654398
"Ls",4,20,7,"tp","NvS",0.0236167707499674,-0.0135142857627032,0.0665043162041824
"Ls",6,0,1,"tp","SvR",0.00900084693950424,-0.00243097814259331,0.0197048136186664
"Ls",7,2,3,"tp","SvR",0.0206924965460616,0.0010129754246034,0.0399101062876966
"Ls",8,8,5,"tp","SvR",0.0450495767095185,0.0099791935465396,0.0808700692518912
"Ls",9,20,7,"tp","SvR",0.0804005527519013,0.0258901948000472,0.139779822221867
"L1",1,0,1,"tp","NvS",0.00710207598623206,0.00417614824853899,0.0113604132849806
"L1",2,2,3,"tp","NvS",0.00782615386749225,0.00412962366492983,0.0134826394589385
"L1",3,8,5,"tp","NvS",0.00717837052427706,0.0020484627166184,0.0148429005987116
"L1",4,20,7,"tp","NvS",0.00477034083239584,-0.00250743022343432,0.0149483044935716
"L1",6,0,1,"tp","SvR",0.0377938067207342,0.0208130987696359,0.0583548807479805
"L1",7,2,3,"tp","SvR",0.0577030517976332,0.0300527237213473,0.0901066720896144
"L1",8,8,5,"tp","SvR",0.0875604143338996,0.0421526570425511,0.140661808874454
"L1",9,20,7,"tp","SvR",0.120187301325102,0.0525156153440896,0.197891929139519
"D8",1,0,1,"frp","NvS",0.00102010460271634,0.000526355375430335,0.00172476143129608
"D8",2,2,3,"frp","NvS",0.00106689656800008,0.000487357026555784,0.00189119797562777
"D8",3,8,5,"frp","NvS",0.00104054848220769,0.000300883424456579,0.00206529724996932
"D8",4,20,7,"frp","NvS",0.000931407033722112,1.98767636709988e-06,0.00216249968169098
"D8",6,0,1,"frp","SvR",0.00240339141175877,0.00125725863073967,0.00341272054359398
"D8",7,2,3,"frp","SvR",0.00387703665802016,0.00255957657200495,0.00521853364245391
"D8",8,8,5,"frp","SvR",0.00589311467461487,0.0042743554569728,0.00784468045318898
"D8",9,20,7,"frp","SvR",0.00794796825950162,0.00594758286023652,0.0104890573984116
"D4",1,0,1,"frp","NvS",0.000662306834326354,0.000338401399796956,0.00113498684881422
"D4",2,2,3,"frp","NvS",0.000694274527023527,0.000311026581266675,0.00124488385319332
"D4",3,8,5,"frp","NvS",0.000681438102424438,0.000193168017094387,0.00136143038516716
"D4",4,20,7,"frp","NvS",0.000613791802890402,1.29643890473108e-06,0.00144620665801434
"D4",6,0,1,"frp","SvR",0.00313226179052146,0.00183598239634585,0.00437082312749785
"D4",7,2,3,"frp","SvR",0.00482823048939031,0.00331188595953292,0.00653275698185448
"D4",8,8,5,"frp","SvR",0.00713327297351099,0.00524854264261212,0.00950073251450303
"D4",9,20,7,"frp","SvR",0.00948432710054167,0.00710858318156117,0.0125400053607821
"Ln",1,0,1,"frp","NvS",0.00350211326669862,0.00193571729870852,0.00558018258360334
"Ln",2,2,3,"frp","NvS",0.00404492174341077,0.00194906563113582,0.00682221396696988
"Ln",3,8,5,"frp","NvS",0.00437541573517618,0.00136969308392608,0.00819951056779558
"Ln",4,20,7,"frp","NvS",0.00426908981378237,1.03885871325149e-05,0.00930111485976756
"Ln",6,0,1,"frp","SvR",0.0021134930341751,0.000163198105891541,0.00382294849215283
"Ln",7,2,3,"frp","SvR",0.00442829600574849,0.00201956487932341,0.00691444498866714
"Ln",8,8,5,"frp","SvR",0.0081288505095393,0.004725293777453,0.0120491174875484
"Ln",9,20,7,"frp","SvR",0.0123510782702836,0.00775617528172986,0.0180326213807476
"L4",1,0,1,"frp","NvS",0.0019640170214153,0.00100140355337504,0.00337692803024265
"L4",2,2,3,"frp","NvS",0.00227161145660162,0.00102005855027404,0.00411494332371167
"L4",3,8,5,"frp","NvS",0.00245722294331059,0.000711769571663637,0.0049587275165338
"L4",4,20,7,"frp","NvS",0.00239927903577431,5.55822103587354e-06,0.00568590878248721
"L4",6,0,1,"frp","SvR",0.0048865779881707,0.00241752590316682,0.00758626816458976
"L4",7,2,3,"frp","SvR",0.00836373280852756,0.00503625784669344,0.0122416243420445
"L4",8,8,5,"frp","SvR",0.0136233880565001,0.00899713394866076,0.0193107052470982
"L4",9,20,7,"frp","SvR",0.0194701905421804,0.0133093509943896,0.0272968804806338
"Ls",1,0,1,"frp","NvS",0.00337051137482677,0.00176622897160826,0.00569188058752607
"Ls",2,2,3,"frp","NvS",0.00402267747013686,0.00184451429334738,0.00721917083469076
"Ls",3,8,5,"frp","NvS",0.00451336865939159,0.00133474084189671,0.00889958938644186
"Ls",4,20,7,"frp","NvS",0.00451242120990688,1.10093848657518e-05,0.0103953941418812
"Ls",6,0,1,"frp","SvR",0.00425244441387416,0.00161553474694265,0.00701971178914411
"Ls",7,2,3,"frp","SvR",0.00791921199257932,0.00436094980650735,0.0120603791016961
"Ls",8,8,5,"frp","SvR",0.0138222656507616,0.00850777097163663,0.0203152799721475
"Ls",9,20,7,"frp","SvR",0.0206630571036258,0.0133500734967677,0.0299940602483025
"L1",1,0,1,"frp","NvS",0.000834027693286219,0.00039899168087562,0.00153547174128071
"L1",2,2,3,"frp","NvS",0.00100234427870406,0.000421416725209626,0.00194168091968323
"L1",3,8,5,"frp","NvS",0.00113534854458558,0.000308125164825496,0.00247304742574318
"L1",4,20,7,"frp","NvS",0.00113679311947108,2.66527591784159e-06,0.00291612321002013
"L1",6,0,1,"frp","SvR",0.00890054607442005,0.00463310905042269,0.0144490183583735
"L1",7,2,3,"frp","SvR",0.014797865642343,0.00867732188577196,0.0230138629123394
"L1",8,8,5,"frp","SvR",0.0239881882049493,0.0148404055762399,0.0364675249885001
"L1",9,20,7,"frp","SvR",0.0343293224988478,0.0218176011278004,0.0513601836651189
"D8",1,0,1,"nh3","NvS",0.00223908746035777,0.000511170041777831,0.0050578813971519
"D8",2,2,3,"nh3","NvS",0.00323823257035317,0.00110016572576214,0.00681465486507199
"D8",3,8,5,"nh3","NvS",0.00459530969060093,0.00180094006657205,0.0092592770044757
