wq_var,mod_structure,model_code_no_auto,model_code,degrd,restr,rain1,degrd.rain1,restr.rain1,t.site.,t,rain365,channel,season,season.degrd,season.restr,diel,diel.degrd,diel.restr,septic,septic.rain1,filter,var,file_name,optimal_model
EC,m_1_x,m_1_r,m_1_r_st,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ec,fit_ec_m_1_r_st.rda,0
EC,m_1_x,m_1_s,m_1_s_st,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ec,fit_ec_m_1_s_st.rda,0
EC,m_1_xx,m_1_sr,m_1_sr_st,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ec,fit_ec_m_1_sr_st.rda,0
EC,m_1,m_1,m_1_st,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ec,fit_ec_m_1_st.rda,1
FRP,m_1_x,m_1_c,m_1_c_st,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_c_st.rda,0
FRP,m_1_xx,m_1_cf,m_1_cf_st,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_cf_st.rda,0
FRP,m_1_xx,m_1_cr,m_1_cr_st,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_cr_st.rda,0
FRP,m_1_xxx,m_1_crf,m_1_crf_st,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_crf_st.rda,0
FRP,m_1_xx,m_1_cs,m_1_cs_st,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_cs_st.rda,1
FRP,m_1_xxx,m_1_csf,m_1_csf_st,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_csf_st.rda,0
FRP,m_1_xxx,m_1_csr,m_1_csr_st,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_csr_st.rda,0
FRP,m_1_xxxx,m_1_csrf,m_1_csrf_st,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_csrf_st.rda,0
FRP,m_1_x,m_1_f,m_1_f_st,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_f_st.rda,0
FRP,m_1_x,m_1_r,m_1_r_st,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_r_st.rda,0
FRP,m_1_xx,m_1_rf,m_1_rf_st,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_rf_st.rda,0
FRP,m_1_x,m_1_s,m_1_s_st,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_s_st.rda,0
FRP,m_1_xx,m_1_sf,m_1_sf_st,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_sf_st.rda,0
FRP,m_1_xx,m_1_sr,m_1_sr_st,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_sr_st.rda,0
FRP,m_1_xxx,m_1_srf,m_1_srf_st,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,frp,fit_frp_m_1_srf_st.rda,0
FRP,m_1,m_1,m_1_st,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,frp,fit_frp_m_1_st.rda,0
NH3,m_1_x,m_1_c,m_1_c_st,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,nh3,fit_nh3_m_1_c_st.rda,0
NH3,m_1_xx,m_1_cf,m_1_cf_st,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,nh3,fit_nh3_m_1_cf_st.rda,0
NH3,m_1_xx,m_1_cr,m_1_cr_st,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,nh3,fit_nh3_m_1_cr_st.rda,0
NH3,m_1_xxx,m_1_crf,m_1_crf_st,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,nh3,fit_nh3_m_1_crf_st.rda,0
